,raceId,driverId,stop,lap,time,duration,milliseconds,constructors,seconds,points
3063,970,822,3,6,1,17.323,17323,Renault,17.323,1777.0
3064,970,20,4,6,1,17.370,17370,Force India,17.37,1098.0
3065,970,826,4,6,1,17.322,17322,McLaren,17.322,5795.5
3066,970,13,4,6,1,17.377,17377,Williams,17.377,3567.0
3067,970,815,4,6,1,18.225,18225,Williams,18.225,3567.0
3068,970,839,4,6,1,17.366,17366,Williams,17.366,3567.0
3069,970,835,3,6,1,17.301,17301,Ferrari,17.301,8558.5
3070,970,838,4,6,1,17.292,17292,Force India,17.292,1098.0
3071,970,807,4,6,1,17.359,17359,Mercedes,17.359,5927.0
3072,970,828,4,6,1,17.344,17344,Ferrari,17.344,8558.5
3073,970,154,4,6,1,17.314,17314,McLaren,17.314,5795.5
3074,970,815,5,20,1,23.057,23057,Williams,23.057,3567.0
3075,970,13,5,24,1,23.451,23451,Williams,23.451,3567.0
3076,970,835,4,30,1,23.993,23993,Ferrari,23.993,8558.5
3077,970,20,5,34,1,22.443,22443,Force India,22.443,1098.0
3078,970,822,4,35,1,24.317,24317,Renault,24.317,1777.0
3079,970,1,4,36,1,22.668,22668,Force India,22.668,1098.0
3080,970,154,5,35,1,23.211,23211,McLaren,23.211,5795.5
3081,970,8,4,39,1,23.119,23119,Renault,23.119,1777.0
3082,970,839,5,42,1,22.926,22926,Williams,22.926,3567.0
3083,970,13,6,48,1,22.517,22517,Williams,22.517,3567.0
3084,970,815,6,49,1,22.979,22979,Williams,22.979,3567.0
3085,971,840,1,8,1,24.915,24915,Mercedes,24.915,5927.0
3086,971,20,1,10,1,24.702,24702,Renault,24.702,1777.0
3087,971,830,1,11,1,25.174,25174,McLaren,25.174,5795.5
3088,971,839,1,11,1,24.664,24664,Williams,24.664,3567.0
3089,971,836,1,11,1,26.542,26542,Red Bull,26.542,5329.5
3090,971,8,1,12,1,26.430,26430,Red Bull,26.43,5329.5
3091,971,832,1,12,1,25.001,25001,Mercedes,25.001,5927.0
3092,971,1,1,13,1,30.687,30687,Force India,30.687,1098.0
3093,971,815,1,13,1,24.332,24332,Renault,24.332,1777.0
3094,971,835,1,13,1,27.466,27466,Red Bull,27.466,5329.5
3095,971,826,1,13,1,25.204,25204,Ferrari,25.204,8558.5
